Intensidad_base,Rango_base,Intensidad_prueba,Rango_prueba,X_control,Y_control,X_prueba,Y_prueba
101.8,1.811320079565048,5.41,0.0779200041294097,-0.04368276089975898,-1.8107932645765241,-0.001879160369331621,-0.07789734141698007
102.48,1.802860087156296,4.67,0.0658000040054321,-0.026088859936603797,-1.8026713137031987,-0.0009521798727229046,-0.06579311423397483
103.01,1.80214008808136,6.3,0.0867600047588348,-0.008693083355095005,-1.8021191213046028,-0.000418509059448291,-0.08675899536025182
104.5,1.7993000864982605,6.2,0.0861800026893615,0.008679383881533451,-1.7992791527631515,0.0004157112712133896,-0.08617900003874113
103.36,1.7983200883865356,6.46,0.0849600052833557,0.026023162441351205,-1.7981317903065692,0.0012294407612887654,-0.08495110931095785
98.74,1.7877800846099854,4.01,0.0523000001907348,0.043115057829050875,-1.7872601161320878,0.0012612946928395985,-0.05228478895098148
108.02,1.7860600852966309,4.15,0.0517600011825561,0.06029739559663374,-1.7850419749613933,0.0017474178461742386,-0.05173049635649247
111.72,1.7761200845241547,4.76,0.0616200029850006,0.07708420229756263,-1.774446556086218,0.002674328620603807,-0.06156194225575167
115.98,1.7470400750637054,4.99,0.0607000029087066,0.09265710343394491,-1.744581234870371,0.0032193230872209363,-0.06061457177921062
121.17,1.7343800795078277,6.64,0.0807000023126602,0.10869008636314342,-1.7309710353786834,0.005057305676249451,-0.08054138087070731
136.46,1.6987400770187375,4.79,0.0599200028181076,0.12280785609675894,-1.6942951572115597,0.004331826382949568,-0.059763216261426264
172.34,1.6375000762939451,7.55,0.0893000042438507,0.13413137388797786,-1.631997326713987,0.0073147674499893026,-0.08899991536571443
221.25,1.5892800748348237,4.75,0.0587400025129318,0.14545640008374178,-1.5826097408842337,0.005376087853696277,-0.058493466084756626
225.6,1.5843000829219818,5.28,0.0586600023508071,0.1602140913631884,-1.576178352114781,0.0059320573654605205,-0.05835928864550681
194.51,1.6119800782203677,7.93,0.0871000051498413,0.1784773676195716,-1.6020691626228036,0.009643654936453657,-0.08656448935082442
152.78,1.6862800788879395,5.53,0.0575400030612945,0.20286332088974404,-1.6740331470708398,0.006922192968512168,-0.05712210777624072
126.47,1.747440081834793,6.98,0.0766600030660629,0.226947040325956,-1.732640147431104,0.009956141551333895,-0.07601073158112988
111.71,1.7856600892543792,7.45,0.0850800037384033,0.24898110477100382,-1.7682167185678819,0.011863015504565652,-0.08424889256996292
97.31,1.7941600739955903,10.62,0.1037400043010711,0.2672945404710099,-1.774137536876511,0.015455218951764249,-0.1025822825810543
102.74,1.8031800878047943,11.44,0.1217800056934356,0.28582770451681666,-1.7803822489528347,0.019303728850386326,-0.12024032534538473
105.99,1.8095200872421264,13.26,0.1300800049304962,0.3040557782899013,-1.7837917562936756,0.021857495486207305,-0.12823048613254318
105.59,1.8123000836372376,17.89,0.1846800082921982,0.3217441218423939,-1.7835112315910449,0.03278690302246501,-0.18174631895309976
105.57,1.8133600842952728,15.38,0.147560007572174,0.33913363393880597,-1.7813655362240561,0.02759659376280865,-0.1449564894973335
106.73,1.8052400875091552,17.81,0.1745200073719024,0.35470791416146463,-1.770049171402107,0.034291077526283326,-0.17111795632012233
104.8,1.8140400922298432,22.12,0.2183400106430053,0.37358003415562796,-1.7751561661717365,0.04496453467756064,-0.21365989532155563
103.38,1.8134800839424128,24.4,0.2455400103330612,0.39056768003204195,-1.7709226132641056,0.05288174545724575,-0.2397778506696456
104.04,1.8188000893592835,26.28,0.2441000109910965,0.40883013263474716,-1.7722561010483762,0.05486883382812488,-0.2378533717234108
